"File","Line","Column","Level","Text","Context","Fix"
"C:\workspace\bobcrm\src\BobCrm.Api\Contracts\ErrorResponse.cs","27","12","ERROR","","public ErrorResponse(string message, string code = ""ERROR"")","I18n.T(""ERR_"")"
"C:\workspace\bobcrm\src\BobCrm.Api\Contracts\ErrorResponse.cs","33","12","ERROR","","public ErrorResponse(string message, Dictionary<string, string[]> details, string code = ""VALIDATION_ERROR"")","I18n.T(""ERR_"")"
"C:\workspace\bobcrm\src\BobCrm.Api\Endpoints\AccessEndpoints.cs","281","24","ERROR","","return Results.BadRequest(new { error = $""导入失败: {ex.Message}"" });","I18n.T(""ERR_"")"
"C:\workspace\bobcrm\src\BobCrm.Api\Endpoints\AccessEndpoints.cs","312","24","ERROR","","return Results.NotFound(new { error = ""Role not found"" });","I18n.T(""ERR_"")"
"C:\workspace\bobcrm\src\BobCrm.Api\Endpoints\AccessEndpoints.cs","321","24","ERROR","","return Results.NotFound(new { error = ""Role not found"" });","I18n.T(""ERR_"")"
"C:\workspace\bobcrm\src\BobCrm.Api\Endpoints\AccessEndpoints.cs","324","24","ERROR","","return Results.BadRequest(new { error = ""Cannot update system role"" });","I18n.T(""ERR_"")"
"C:\workspace\bobcrm\src\BobCrm.Api\Endpoints\AccessEndpoints.cs","348","24","ERROR","","return Results.NotFound(new { error = ""Role not found"" });","I18n.T(""ERR_"")"
"C:\workspace\bobcrm\src\BobCrm.Api\Endpoints\AccessEndpoints.cs","351","24","ERROR","","return Results.BadRequest(new { error = ""Cannot delete system role"" });","I18n.T(""ERR_"")"
"C:\workspace\bobcrm\src\BobCrm.Api\Endpoints\AccessEndpoints.cs","354","24","ERROR","","return Results.BadRequest(new { error = ""Cannot delete role with assignments"" });","I18n.T(""ERR_"")"
"C:\workspace\bobcrm\src\BobCrm.Api\Endpoints\AccessEndpoints.cs","369","24","ERROR","","return Results.NotFound(new { error = ""Role not found"" });","I18n.T(""ERR_"")"
